2019-10-18 10:43:18 ==> [DBUtils.getSelectResultTableOrNull]서버로부터 결과를 수신하는 동안 전송 수준 오류가 발생했습니다. (provider: TCP Provider, error: 0 - 세마포 제한 시간이 만료되었습니다.)
2019-10-18 15:43:22 ==> 중복데이터 : P18073-2, 527439
2019-10-18 15:43:22 ==> 중복데이터 : P13110-2, 527861
2019-10-18 15:43:22 ==> 중복데이터 : P22006-2, 529011
2019-10-18 15:43:22 ==> 중복데이터 : P13140-2, 533180
2019-10-18 15:43:22 ==> 중복데이터 : P28196-2, 534826
2019-10-18 15:43:22 ==> 중복데이터 : P02024-2, 535125
2019-10-18 15:43:22 ==> 중복데이터 : P07138-2, 536764
2019-10-18 15:43:22 ==> 중복데이터 : P12063-2, 537979
2019-10-18 15:43:22 ==> 중복데이터 : P13147-2, 540733
2019-10-18 15:43:23 ==> 중복데이터 : P18096-2, 548121
2019-10-18 15:43:23 ==> 중복데이터 : P04052-2, 548333
2019-10-18 15:43:23 ==> 중복데이터 : P12098-2, 549609
2019-10-18 15:43:23 ==> 중복데이터 : P19139-2, 551245
2019-10-18 15:43:23 ==> 중복데이터 : P01092-2, 551493
2019-10-18 15:43:23 ==> 중복데이터 : P18131-2, 551590
2019-10-18 15:43:23 ==> 중복데이터 : P08101-2, 600759
2019-10-18 15:43:23 ==> 중복데이터 : P11014-2, 600886
2019-10-18 15:43:23 ==> 중복데이터 : P01027-2, 601109
2019-10-18 15:43:23 ==> 중복데이터 : P01090-2, 601117
2019-10-18 15:43:23 ==> 중복데이터 : P08109-2, 601284
2019-10-18 15:43:23 ==> 중복데이터 : P28100-2, 601411
2019-10-18 15:43:23 ==> 중복데이터 : P13107-2, 601450
2019-10-18 15:43:23 ==> 중복데이터 : P14058-2, 601827
2019-10-18 15:43:23 ==> 중복데이터 : P13149-2, 602321
2019-10-18 15:43:23 ==> 중복데이터 : P12108-2, 602322
2019-10-18 15:43:23 ==> 중복데이터 : P26041-2, 602857
2019-10-18 15:43:23 ==> 중복데이터 : P16048-2, 603297
2019-10-18 15:43:23 ==> 중복데이터 : P03013-2, 603298
2019-10-18 15:43:23 ==> 중복데이터 : P20092-2, 603749
2019-10-18 15:43:23 ==> 중복데이터 : P12088-2, 603797
2019-10-18 15:43:23 ==> 중복데이터 : P13016R-2, 603842
2019-10-18 15:43:23 ==> 중복데이터 : P16161-2, 603847
2019-10-18 15:43:23 ==> 중복데이터 : P19169-2, 603969
2019-10-18 15:43:24 ==> 중복데이터 : P28128-2, 604160
2019-10-18 15:43:24 ==> 중복데이터 : P01123-2, 604379
2019-10-18 15:43:24 ==> 중복데이터 : P28006-2, 604882
2019-10-18 15:43:24 ==> 중복데이터 : P01134-2, 605069
2019-10-18 15:43:24 ==> 중복데이터 : P20106-2, 605172
2019-10-18 15:43:24 ==> 중복데이터 : P01124-2, 605336
2019-10-18 15:43:24 ==> 중복데이터 : P28176-2, 605507
2019-10-18 15:43:24 ==> 중복데이터 : P28194-2, 605596
2019-10-18 15:43:24 ==> 중복데이터 : P16206-2, 605754
2019-10-18 15:43:24 ==> 중복데이터 : P15074-2, 605844
2019-10-18 15:43:24 ==> 중복데이터 : P18071-2, 605846
2019-10-18 15:43:24 ==> 중복데이터 : P02091-2, 606102
2019-10-18 15:43:24 ==> 중복데이터 : P19176-2, 606107
2019-10-18 15:43:24 ==> 중복데이터 : P26042-2, 606934
2019-10-18 15:43:24 ==> 중복데이터 : P16207-2, 606935
2019-10-18 15:43:24 ==> 중복데이터 : P04060-2, 607555
2019-10-18 15:43:24 ==> 중복데이터 : P13151-2, 608046
2019-10-18 15:43:24 ==> 중복데이터 : P02113-2, 608138
2019-10-18 15:43:24 ==> 중복데이터 : P06043-2, 608620
2019-10-18 15:43:24 ==> 중복데이터 : P18102-2, 609385
2019-10-18 15:43:24 ==> 중복데이터 : P16203-2, 609435
